M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-18.829 9.938 7.177
-20.526 10.281 5.077
-20.873 10.513 2.847
-18.228 9.145 4.678
-18.581 9.774 6.819
-19.083 9.527 5.465
-17.697 9.115 3.149
-18.401 9.395 4.151
-17.864 9.265 3.126
-18.210 9.165 3.901
-18.320 9.355 3.510
-18.337 9.355 4.489
-17.766 9.365 1.389
-20.602 10.355 2.313
-17.970 9.380 3.063
-17.665 9.005 1.839
-17.544 8.965 2.608
-17.919 9.365 0.947
-18.596 9.531 6.016
-18.009 9.459 5.363
-17.610 9.155 3.769
-17.883 9.725 2.946
-17.840 9.395 3.764
-22.223 10.905 5.111
-17.889 9.441 3.024
-18.082 9.733 4.671
-17.726 9.385 2.835
-17.765 8.995 4.626
-17.570 8.995 3.664
-18.490 9.635 2.226
-17.988 9.265 1.575
-17.888 9.235 1.162
-18.062 9.335 3.204
-17.809 9.005 0.991
-17.562 9.035 0.800
-18.143 9.205 1.957
-18.241 9.295 1.426
-18.134 9.285 1.473
-18.148 9.165 1.556
-17.863 9.659 3.551
-18.598 9.527 7.215
-17.824 9.295 0.858
-18.154 9.245 2.920
-21.991 11.035 4.866
-17.503 9.115 1.709
-18.206 9.315 2.862
-18.109 9.165 3.451
-17.831 9.185 0.939
-17.850 9.395 3.587
-18.117 8.955 1.406
-18.335 9.475 3.230
-18.807 9.545 3.428
-19.722 10.155 6.192
-18.627 9.045 11.578
-21.124 10.644 5.320
-17.828 9.205 3.138
-17.711 9.095 2.392
-17.756 9.225 3.663
-19.314 9.225 16.229
-18.022 9.481 3.815
-18.160 9.145 3.123
-18.479 9.205 3.768
-18.572 9.495 2.615
-17.562 8.875 0.882
-17.654 9.015 1.260
-21.789 10.855 6.127
-18.190 9.375 4.568
-18.148 9.507 3.293
-17.735 8.785 2.392
-17.809 8.975 1.105
-18.159 9.085 1.475
-17.972 8.995 3.000
-18.480 9.445 3.545
-17.817 9.075 3.250
-18.093 9.375 1.924
-17.390 8.865 1.016
-20.731 10.235 2.712
-17.880 9.165 1.055
-17.737 9.125 2.236
-18.122 9.634 2.155
-17.890 9.265 3.511
-17.762 9.475 2.984
-17.730 9.135 1.791
-17.802 9.085 0.824
-18.137 9.055 2.940
-18.064 9.345 2.690
-17.961 9.475 1.384
-20.302 11.955 2.917
-17.612 9.045 0.981
-17.794 9.435 3.991
-18.116 9.570 4.441
-18.254 9.285 2.166
-18.142 9.215 1.177
-17.656 8.935 1.622
-17.828 9.055 1.168
-18.604 9.455 4.061
-17.640 9.135 0.674
-17.599 9.035 0.779
-21.330 10.705 7.578
-18.124 9.175 1.189
-18.297 9.315 1.060
-17.748 9.645 4.014
-17.673 9.045 1.854
-19.084 9.455 6.199
-17.843 8.965 2.543
-18.555 9.435 4.589
-18.084 9.345 4.235
-17.780 8.945 1.457
-17.590 8.925 1.906
-20.785 10.415 6.147
-20.096 9.970 3.565
-17.602 9.105 0.829
-17.507 9.035 1.880
-18.169 9.435 2.021
-17.899 9.298 3.624
-18.809 9.727 6.532
-17.654 9.405 4.111
-17.937 9.085 0.927
-17.771 9.095 1.658
-17.917 9.325 1.970
-18.949 9.475 3.608
-17.602 9.005 0.797
-17.655 9.225 0.793
-17.653 9.095 2.644
-18.117 9.165 3.651
-17.715 9.205 2.144
-17.853 9.255 3.193
-17.485 8.975 1.981
-17.661 9.255 3.275
-17.840 9.035 1.712
-17.849 9.065 3.329
-20.901 10.458 2.281
-18.565 9.633 4.438
-18.920 9.578 3.890
-18.282 9.175 4.579
-18.113 9.275 4.112
-17.765 9.065 2.886
-17.878 9.115 1.251
-18.613 9.315 4.828
-19.852 9.305 13.747
-17.716 9.165 2.286
-18.475 9.320 3.091
-21.490 10.895 6.848
-17.871 8.945 2.327
-17.660 9.015 2.152
-18.086 9.445 2.318
-18.261 9.542 4.454
-17.984 9.255 1.315
-17.858 9.295 2.979
-17.340 8.995 1.439
-17.800 9.378 2.764
-17.715 9.035 1.377
-17.614 9.265 2.456
-19.583 9.825 2.836
-18.636 9.546 4.537
-17.957 9.015 1.057
-17.506 8.915 0.902
-17.756 9.055 1.568
-17.779 9.195 1.927
-17.817 9.015 0.887
-17.563 8.985 0.928
-17.729 9.085 2.913
-17.723 9.085 1.564
-17.601 8.935 1.285
-21.176 10.453 8.022
-18.016 9.265 1.099
-17.821 9.365 1.735
-19.118 9.895 10.941
-17.850 9.205 2.884
-18.594 9.395 5.749
-18.016 9.145 4.250
-17.929 9.205 1.523
-18.675 9.495 5.932
-18.208 9.405 2.195
-17.732 8.975 1.287
-21.748 10.943 5.646
-17.704 9.075 1.490
-17.987 9.065 1.938
-19.569 9.615 8.230
-17.568 9.175 1.188
-18.502 9.365 1.392
-17.481 9.075 0.916
-17.595 8.925 0.930
-17.824 9.255 3.877
-17.822 9.205 2.118
-17.589 9.005 1.544
-19.621 10.135 6.251
-17.978 9.225 1.171
-18.029 9.115 1.878
-17.395 8.865 1.098
-17.697 9.437 3.066
-17.492 9.075 2.263
-18.829 9.505 1.964
-17.792 8.985 1.749
-18.011 9.525 1.540
-19.181 9.835 3.931
-17.983 9.025 2.810
-21.800 10.785 5.100
-18.310 9.455 1.588
-18.365 9.315 5.447
-18.070 9.305 2.802
-18.586 9.295 3.972
-18.672 9.459 4.349
-18.375 9.551 2.578
-17.894 9.215 1.420
-17.859 9.165 3.229
-18.365 9.135 3.922
-17.792 9.567 3.369
-20.047 10.275 5.931
-17.698 9.295 2.833
-18.875 9.575 4.850
-17.825 9.255 1.334
-18.020 9.235 2.648
-17.745 9.095 3.497
-18.244 9.315 3.870
-19.008 9.507 4.567
-17.605 9.697 4.408
-18.020 9.235 1.230
-18.477 9.558 4.158
-19.158 9.855 0.944
-17.762 8.985 1.868
-18.352 9.305 0.998
-18.085 9.350 2.961
-17.757 9.115 1.656
-17.872 9.085 2.525
-18.006 9.684 3.154
-17.817 9.165 2.324
-17.556 9.065 1.978
-17.706 9.045 1.805
-18.245 9.445 5.492
-21.401 10.545 4.523
-17.911 9.155 2.125
-17.662 9.135 1.231
-17.740 9.015 2.926
-18.049 9.165 3.747
-18.936 9.295 11.389
-18.122 9.205 0.892
-18.586 9.497 4.414
-17.800 9.065 3.399
-18.172 9.538 2.468
-18.735 9.861 3.279
-19.669 9.955 2.090
-18.520 9.713 2.892
-17.791 9.235 1.320
-17.824 9.185 0.976
-18.011 9.545 3.824
-18.104 9.175 1.732
-18.692 9.465 6.284
-17.854 9.025 1.548
-18.632 9.596 3.762
-18.863 9.305 1.904
-18.468 9.566 3.138
-20.954 10.375 3.517
-17.766 9.447 1.557
-17.706 8.985 0.765
-17.678 9.585 2.809
-18.581 9.425 1.146
-17.570 9.205 0.729
-17.990 9.065 1.023
-18.697 9.638 4.499
-17.573 8.974 0.909
-17.637 8.897 0.782
-18.135 9.135 2.645
-20.137 9.955 3.498
-18.497 9.295 5.161
-18.108 9.115 3.417
-17.551 8.945 1.223
-18.988 9.795 5.592
-17.637 9.015 2.875
-18.176 9.245 3.497
-17.421 8.965 0.956
-17.425 9.035 2.424
-17.677 9.506 1.837
-17.838 9.055 2.298
-19.684 9.631 5.294
-17.680 9.558 3.387
-17.507 8.925 1.246
-18.294 9.666 4.371
-18.536 9.739 2.686
-18.269 9.255 1.620
-18.092 9.305 1.820
-18.085 9.205 2.184
-18.355 9.395 2.737
-17.775 9.145 1.697
-18.384 9.445 2.170
-21.056 10.295 2.761
-17.756 9.045 2.675
-18.100 9.345 2.860
-18.065 9.235 2.965
-17.751 8.905 2.248
-17.467 8.875 1.121
-17.654 9.299 1.092
-18.938 9.435 1.857
-17.812 9.285 5.262
-17.656 9.520 1.388
-20.390 10.125 2.589
-19.501 9.555 6.721
-18.154 9.125 1.117
-17.500 8.895 2.732
-17.812 8.975 1.612
-18.183 9.395 1.408
-17.908 9.095 1.625
-18.271 9.325 1.738
-18.784 9.885 3.320
-17.795 9.425 4.137
-17.633 9.195 2.616
-22.128 11.007 8.187
-17.689 9.115 1.797
-19.064 9.700 2.611
-17.799 9.412 1.762
-19.046 9.735 2.495
-18.556 9.435 2.284
-18.985 9.195 1.481
-20.205 9.275 3.890
-18.074 9.375 3.870
-20.450 10.325 2.259
-19.468 9.775 2.607
-17.914 9.725 3.655
-19.182 9.895 4.276
-17.512 8.875 3.233
-18.326 9.536 4.867
-17.783 9.095 4.264
-17.677 8.835 4.091
-17.845 9.125 1.461
-20.709 10.402 7.528
-20.540 10.195 3.257
-17.891 9.555 4.633
-17.676 8.985 2.027
-17.859 9.105 1.563
-17.666 9.055 2.813
-17.723 8.835 3.405
-17.739 9.608 5.360
-17.659 9.045 1.530
-18.140 9.315 0.941
-17.416 8.855 3.590
-21.412 10.918 9.396
-17.756 9.045 1.760
-17.759 9.105 1.088
-17.598 9.055 2.126
-17.776 7.945 3.300
-17.680 9.095 1.255
-18.777 9.865 7.476
-17.786 9.055 2.099
-17.424 8.985 1.497
-17.660 8.985 2.599
-18.120 9.315 1.498
-19.517 9.882 1.803
-18.209 9.485 3.853
-17.718 9.005 0.730
-19.366 9.705 10.340
-18.330 9.235 5.355
-17.795 9.175 3.470
-17.645 9.005 3.015
-18.937 9.890 7.607
-17.902 9.025 2.141
-19.202 9.944 7.452
-19.881 9.985 8.630
-19.631 9.755 3.915
-18.165 9.585 1.661
-17.879 9.105 2.599
-19.709 9.945 2.386
-18.140 9.165 3.527
-19.199 9.565 7.865
-20.880 10.445 4.735
-20.112 10.015 2.559
-19.813 9.965 7.273
-19.834 10.125 6.850
-18.924 9.545 1.670
-21.936 11.155 5.862
-19.085 9.795 1.031
-19.654 9.675 1.294
-19.207 9.845 2.129
-19.671 10.005 1.389
-18.599 9.595 1.853
-18.798 9.585 3.347
-20.360 10.275 2.297
-21.452 10.435 3.644
-18.806 9.575 1.971
-19.105 9.625 1.897
-20.208 10.185 3.508
-19.853 10.065 2.107
-19.105 9.615 2.089
-22.023 10.905 7.995
-19.397 9.675 4.116
-18.977 9.575 1.437
-17.737 9.225 1.442
-19.831 10.165 2.115
-19.388 9.985 7.339
-19.494 10.075 2.389
-19.752 10.015 2.271
-19.971 10.155 1.562
-18.119 9.435 3.546
-18.907 9.475 5.642
-18.228 9.325 3.396
-18.996 9.750 5.181
-18.403 9.155 2.815
-17.852 9.503 3.870
-17.977 9.185 3.043
-17.740 9.345 3.342
-18.561 9.868 6.139
-17.589 8.995 3.049
-21.158 10.545 6.711
-18.057 9.225 3.545
-18.915 9.755 4.629
-18.447 9.485 4.845
-18.035 9.675 4.513
-17.704 9.125 3.472
-17.862 9.015 3.007
-17.904 9.375 4.377
-19.116 9.695 5.516
-17.675 9.135 3.143
-21.408 10.675 7.484
-17.635 9.105 3.224
-17.718 9.275 2.965
-18.205 9.475 5.056
-17.606 9.085 1.915
-17.459 8.965 2.010
-17.905 9.278 4.018
-18.788 9.515 4.164
-18.167 9.425 3.950
-18.261 9.145 3.313
-18.963 9.629 5.113
-20.546 10.395 5.512
-18.466 9.405 4.050
-18.142 9.305 3.717
-17.890 9.315 3.908
-18.107 9.205 3.370
-18.548 9.635 5.843
-17.835 9.225 3.397
-17.901 9.075 3.329
-18.633 9.538 4.346
-17.843 9.628 2.969
-18.272 9.125 2.993
-19.700 10.175 3.333
-20.022 10.085 2.978
-17.925 9.095 1.717
-17.816 8.865 2.640
-18.042 9.585 3.270
-18.450 9.379 4.704
-18.867 9.769 4.960
-18.642 9.265 4.331
-17.743 9.125 3.415
-17.659 9.065 2.548
-17.793 9.145 3.702
-17.885 9.045 3.422
-19.466 9.625 4.007
-17.526 8.935 2.362
-18.184 9.145 2.902
-18.412 9.465 5.797
-17.869 9.215 2.293
-17.759 9.520 4.636
-18.499 9.693 8.064
-17.921 9.347 3.271
-17.677 9.135 3.191
-18.710 9.530 5.245
-18.380 9.556 3.887
-19.517 10.024 5.448
-17.934 9.135 3.308
-18.070 9.585 4.144
-18.550 9.355 5.673
-17.629 9.165 4.869
-17.802 8.995 3.610
-17.683 9.025 3.572
-17.954 9.359 5.070
-18.210 9.215 2.829
-18.863 9.375 4.191
-18.695 9.285 5.865
-20.750 10.375 2.263
-18.284 9.435 4.618
-18.228 9.486 6.241
-17.945 9.125 3.509
-18.879 9.375 7.498
-18.457 9.581 3.530
-17.938 9.135 3.398
-17.717 8.925 2.450
-18.990 9.460 5.120
-17.673 8.935 2.352
-18.569 9.575 7.820
-17.734 9.065 3.062
-18.162 9.155 3.046
-18.798 9.845 6.631
-18.454 9.355 7.534
-17.989 9.185 4.305
-18.194 9.445 4.926
-18.242 9.215 3.924
-18.029 9.205 4.079
-17.905 9.085 2.632
-19.462 9.755 2.112
-17.529 8.885 3.933
-19.411 9.795 6.305
-18.308 9.472 4.191
-17.670 9.351 2.698
-18.009 9.455 5.043
-18.623 9.305 6.432
-18.188 9.623 4.332
-17.616 9.005 3.701
-18.165 9.185 3.380
-18.530 9.495 3.723
-20.209 9.952 4.568
-18.084 9.245 4.246
-20.505 10.275 1.844
-20.660 10.402 3.295
-18.769 9.495 1.945
-18.249 9.305 1.017
-18.578 9.545 1.974
-18.925 9.265 1.775
-17.665 8.935 0.557
-19.806 10.225 8.654
-18.654 9.975 1.832
-20.848 10.653 4.320
-18.610 9.635 1.151
-18.806 9.695 0.962
-20.040 10.045 2.262
-18.779 9.435 1.921
-18.749 9.577 1.941
-18.587 9.395 0.979
-19.524 10.010 1.333
-19.518 9.860 1.860
-19.684 10.095 1.848
-19.343 9.905 2.405
-21.306 10.805 7.815
-17.801 9.085 0.701
-18.257 9.440 0.790
-18.501 9.500 1.673
-18.948 9.735 1.390
-18.865 9.655 1.897
-17.829 9.335 1.176
-18.499 9.651 0.925
-18.660 9.615 1.572
-18.384 9.265 0.971
-19.051 9.495 0.991
-19.369 9.810 2.824
-18.328 9.405 1.145
-18.823 9.705 1.788
-19.479 9.905 2.377
-19.301 9.845 1.371
-19.204 9.715 1.323
-18.477 9.574 0.896
-17.959 9.195 0.909
-20.477 10.360 3.793
-18.756 9.725 1.094
-19.018 9.715 1.291
-20.497 10.159 3.143
-19.788 9.940 2.959
-19.537 10.025 1.252
-20.378 10.137 4.673
-17.975 9.275 0.816
-18.241 9.415 1.248
-19.224 9.685 1.718
-18.254 9.425 0.684
-18.475 9.455 0.846
-17.951 9.670 0.828
-19.551 10.075 1.183
-19.886 9.885 2.810
-18.259 9.534 1.317
-18.228 9.267 0.753
-18.850 9.645 1.335
-18.517 9.435 1.852
-18.326 9.435 1.357
-18.404 9.535 1.039
-18.761 9.635 1.419
-18.990 9.745 2.078
-19.469 9.755 1.277
-21.208 10.695 7.107
-19.600 10.005 1.976
-18.299 9.554 1.293
-18.120 9.125 1.142
-19.392 9.795 1.197
-18.315 9.295 1.530
-20.262 10.426 1.509
-19.357 9.865 1.925
-18.595 9.305 0.884
-18.912 9.585 0.955
-21.752 10.861 6.491
-18.551 9.435 1.200
-18.173 9.315 0.964
-18.180 9.365 1.278
-18.637 9.435 1.166
-18.811 9.665 0.929
-18.283 9.435 1.133
-18.031 9.425 1.518
-21.782 9.455 26.440
-18.514 9.545 1.554
-19.106 9.785 1.499
-20.735 10.325 2.550
-19.001 9.765 1.415
-18.284 9.195 1.085
-18.990 9.615 1.633
-20.082 10.125 2.634
-19.075 9.785 1.933
-18.852 9.705 2.294
-19.015 9.575 2.109
-18.826 9.605 2.095
-20.511 9.935 14.753
-17.987 9.175 0.882
-20.193 10.185 2.151
-17.964 9.205 0.809
-18.782 9.605 1.555
-17.832 9.125 1.133
-18.738 9.485 1.336
-18.202 9.285 0.885
-17.637 8.965 0.869
-17.991 9.295 1.139
-17.713 8.935 0.796
-18.251 9.185 0.977
-18.306 9.435 1.626
-18.378 9.455 2.003
-19.171 9.915 1.990
-18.443 9.365 0.962
-18.571 9.325 1.514
-18.372 9.395 1.370
-17.610 9.065 1.037
-18.315 9.375 1.226
-18.883 9.745 2.266
-18.439 9.485 1.508
-18.529 9.315 1.490
-17.812 9.195 0.796
-19.906 10.077 5.007
-18.655 9.685 2.779
-18.773 9.455 1.132
-18.155 9.375 1.244
-18.140 9.497 1.171
-18.575 9.505 1.768
-17.806 9.543 0.713
-18.804 9.395 5.835
-17.971 9.315 2.344
-18.115 9.385 1.884
-21.697 10.895 7.102
-19.238 9.774 2.185
-19.317 9.295 21.596
-19.396 9.785 1.411
-17.338 9.005 1.053
-18.238 9.375 1.522
-18.375 9.425 1.800
-17.755 9.115 1.464
-18.158 9.295 1.257
-18.447 9.445 1.961
-19.192 9.935 7.865
-19.330 9.622 1.126
-17.848 8.995 1.385
-18.004 9.225 3.783
-20.018 10.035 1.448
-18.999 9.775 3.286
-17.557 8.855 1.906
-18.937 9.575 5.864
-19.734 9.805 3.048
-18.712 9.195 1.665
-19.856 10.065 2.626
-20.082 10.115 3.645
-20.389 10.106 6.277
-20.364 10.175 5.994
-21.114 10.495 6.600
-19.819 10.135 2.903
-19.190 9.635 3.283
-19.521 9.655 9.320
-21.914 10.735 7.492
-19.132 9.826 3.503
-18.844 9.635 2.292
-17.717 9.165 2.308
-19.099 9.635 2.773
-19.237 9.765 2.691
-20.900 10.325 4.760
-19.115 9.495 3.115
-18.601 9.535 1.450
-20.001 10.055 2.599
-19.761 10.005 2.440
-18.675 9.925 4.774
-20.467 10.355 3.579
-17.786 9.275 2.292
-19.003 9.585 2.855
-19.528 10.065 4.210
-18.911 9.435 3.703
-19.760 10.075 5.072
-19.855 10.095 2.078
-20.922 10.425 3.140
-18.886 9.685 4.711
-22.706 10.885 19.859
-19.688 9.945 5.355
-19.137 9.765 3.401
-19.246 9.725 3.426
-19.893 10.125 5.841
-20.175 10.055 10.129
-18.981 9.705 6.439
-19.223 9.685 5.737
-20.647 10.153 6.389
-18.595 9.705 1.736
-20.560 10.265 1.879
-20.402 10.392 2.173
-19.395 9.885 1.971
-21.842 10.875 8.761
-18.666 9.605 6.365
-19.409 9.785 6.196
-18.334 9.595 5.801
-21.356 10.780 3.606
-18.650 9.756 7.593
-20.086 10.015 5.465
-21.386 10.965 9.907
-21.081 10.245 6.162
-18.815 9.685 3.705
-20.409 10.464 4.612
-20.064 10.208 1.611
-19.346 9.806 3.144
-20.549 10.465 3.044
-20.438 10.255 3.064
-21.308 10.615 3.586
-17.725 9.185 2.446
-19.910 10.085 5.219
-18.359 9.415 4.291
-19.532 9.745 6.565
-19.357 10.244 6.308
-19.547 9.875 4.644
-19.610 10.060 2.538
-19.896 10.135 2.210
-19.509 9.755 7.365
-21.032 10.505 6.135
-19.568 9.905 3.104
-17.806 9.125 2.092
-20.043 9.955 4.206
-19.545 9.955 4.068
-18.980 9.855 6.099
-19.684 10.285 1.475
-20.973 10.305 6.981
-20.633 10.195 10.649
-19.893 9.895 4.285
-21.416 10.863 9.261
-20.208 10.185 7.999
-20.260 10.045 5.927
-21.046 10.635 12.334
-20.531 10.315 11.096
-19.830 10.115 7.617
-20.257 10.225 11.261
-20.434 10.405 5.792
-21.485 10.575 4.125
-18.436 9.365 2.633
-17.960 9.635 3.886
-20.160 10.010 3.441
-18.444 9.517 5.223
-20.325 10.195 2.170
-19.870 10.305 3.732
-20.221 10.225 9.434
-20.343 10.425 5.262
-20.423 10.535 5.499
-20.203 10.125 4.283
-19.528 9.955 2.692
-20.505 10.415 2.995
-20.178 10.005 2.784
-19.534 9.657 2.796
-20.654 10.385 6.555
-19.726 10.094 7.491
-20.532 10.475 6.776
-20.371 10.369 7.040
-19.520 10.261 5.075
-19.757 10.155 7.064
-18.724 9.353 5.440
-19.137 9.545 3.255
-19.732 10.175 6.002
-20.311 10.355 3.604
-20.753 10.627 2.574
-21.689 10.925 6.836
-20.064 10.045 4.588
-20.546 10.265 3.610
-19.932 10.375 4.464
-20.553 10.209 4.539
-20.562 10.155 9.521
-20.327 10.475 6.481
-18.189 9.115 4.008
-19.548 9.975 5.647
-19.815 9.795 4.083
-22.512 11.005 5.846
-19.338 9.765 3.836
-20.106 9.969 4.503
-19.771 10.031 5.139
-20.405 10.459 4.795
-19.794 10.184 5.708
-19.673 9.941 3.033
-18.867 9.715 7.949
-18.702 9.676 5.669
-21.520 10.855 5.533
-18.398 9.505 4.137
-18.262 9.541 3.925
-19.660 10.090 4.663
-20.554 10.315 5.006
-19.113 9.731 4.046
-18.065 9.275 1.804
-18.337 9.545 4.082
-19.178 9.735 3.446
-20.443 10.485 5.575
-18.991 9.638 2.228
-20.418 10.331 4.953
-19.205 9.885 5.318
-19.715 9.845 5.346
-20.017 10.205 2.868
-19.652 9.943 6.447
-19.567 10.131 6.520
-18.899 9.605 3.360
-20.577 10.412 5.655
-19.417 9.776 3.793
-18.667 9.699 5.249
-19.325 9.785 7.395
-18.025 9.495 1.619
-19.051 9.895 6.847
-19.638 9.936 3.764
-19.606 9.845 4.043
-19.837 10.064 5.146
-20.474 10.715 5.876
-20.627 10.116 1.398
-19.996 10.135 3.788
-19.343 9.898 4.173
-19.786 10.105 3.735
-21.727 10.848 5.233
-19.439 9.731 4.642
-19.905 9.925 5.997
-19.792 10.001 3.513
-19.133 9.711 1.992
-19.581 9.680 4.322
-19.307 9.840 4.429
-18.179 9.425 3.664
-19.311 9.924 3.977
-19.414 10.003 4.317
-19.630 9.947 5.349
-19.874 9.992 5.202
-20.380 10.150 3.365
-19.401 9.805 4.353
-20.375 10.141 6.053
-20.158 10.042 4.091
-19.683 10.089 5.078
-19.429 9.942 5.885
-18.858 9.475 1.065
-19.065 9.881 4.180
-19.686 10.045 6.846
-18.512 9.281 3.669
-19.554 10.001 6.080
-20.308 10.217 6.801
-19.364 9.866 4.206
-19.674 10.133 3.966
-20.190 10.195 2.540
-19.883 9.854 5.250
-19.229 9.775 4.647
-19.771 10.068 4.207
-19.765 9.904 1.405
-18.699 9.793 2.681
-20.098 10.045 5.748
-19.228 9.755 4.277
-19.166 9.735 3.746
-18.826 9.615 5.561
-19.016 9.775 4.912
-20.080 10.338 5.391
-18.383 9.556 2.617
-19.214 9.755 6.510
-19.916 9.985 5.142
-18.360 9.689 4.014
-18.395 9.335 5.079
-19.940 9.975 2.185
-18.616 9.575 4.638
-18.067 9.648 3.614
-19.915 10.115 6.501
-19.653 10.182 3.885
-19.970 10.085 8.476
-18.192 9.515 5.876
-18.562 9.495 5.140
-20.366 10.105 1.515
-18.209 9.475 3.944
-19.897 9.815 0.739
-20.318 10.295 3.385
-18.927 9.571 1.559
-19.580 9.965 8.429
-19.084 9.735 4.062
-19.753 9.915 4.560
-20.464 10.435 9.114
-20.345 10.375 3.072
-19.657 10.125 4.010
-19.446 9.855 3.482
-18.547 9.616 5.290
-19.265 9.894 6.501
-19.256 9.945 4.978
-19.882 10.135 3.811
-20.167 10.324 5.845
-19.672 10.166 5.054
-20.203 9.965 9.674
-19.430 10.115 8.196
-19.683 10.300 4.555
-19.331 10.103 7.043
-19.798 9.955 8.159
-20.120 10.085 9.059
-19.880 10.055 6.638
-19.614 9.935 8.077
-18.907 9.340 6.357
-19.609 10.168 6.314
-20.192 10.135 6.670
-19.984 10.315 4.650
-19.869 10.048 7.246
-18.606 9.715 4.377
-20.477 10.481 7.515
-19.976 10.025 6.428
-20.491 10.512 8.803
-20.010 10.100 6.222
-19.854 10.370 5.145
-20.421 10.252 5.425
-20.424 10.425 7.000
-20.057 10.065 8.961
-20.646 10.265 7.830
-18.270 9.775 6.804
-19.538 9.935 9.312
-19.451 9.855 7.873
-19.098 10.101 5.475
-20.248 10.115 4.742
-20.139 10.325 6.152
-19.457 9.735 6.689
-20.880 10.508 2.704
-19.944 9.865 6.024
-18.044 9.448 3.438
-19.369 10.002 5.253
-18.254 9.605 4.960
-21.108 10.405 2.642
-19.310 9.735 4.535
-22.255 10.945 18.452
-19.801 10.396 4.680
-20.451 10.075 9.126
-21.814 10.745 6.800
-21.655 10.885 8.055
-20.258 10.617 6.737
-18.025 9.415 3.828
-18.508 9.575 6.471
-18.716 9.385 5.651
-18.695 9.765 5.425
-19.938 10.035 8.961
-19.157 9.890 8.008
-19.696 10.166 7.028
-19.323 9.665 5.635
-20.715 10.595 6.217
-22.775 11.355 8.533
-18.389 9.495 4.732
-19.286 9.908 6.101
-18.767 9.725 5.679
-19.563 9.925 9.125
-19.413 9.977 7.155
-18.738 9.655 5.835
-19.986 10.261 8.736
-19.079 9.745 5.594
-18.773 9.595 2.339
-18.744 9.555 4.389
-19.032 9.585 4.022
-20.108 10.422 8.804
-19.829 10.035 2.794
-18.165 9.565 3.719
-18.185 9.405 5.313
-20.381 10.315 7.638
-18.995 9.925 5.533
-19.177 9.928 6.313
-19.680 9.935 5.429
-18.839 9.565 1.414
-19.095 9.715 3.250
-21.692 10.675 6.174
-17.908 9.275 2.796
-20.304 10.165 3.854
-19.585 10.263 4.788
-19.990 10.239 7.797
-19.605 10.075 4.755
-19.333 9.925 2.048
-20.617 10.475 4.842
-21.292 10.695 2.758
-19.828 10.115 3.692
-21.059 10.589 3.506
-21.330 10.515 12.921
-19.954 10.055 2.762
-20.065 10.215 2.029
-21.249 10.445 4.271
-19.252 9.849 7.509
-22.444 10.950 10.501
-19.661 10.073 2.588
-19.279 9.645 1.510
-19.092 9.325 5.574
-18.291 9.255 1.838
-20.110 10.175 1.951
-20.094 9.995 1.545
-20.868 10.603 3.421
-19.054 9.715 0.995
-18.240 9.135 2.334
-18.432 9.465 1.495
-18.288 9.649 2.132
-18.206 9.696 4.484
-18.008 9.426 1.900
-17.663 9.005 1.136
-18.852 9.772 1.096
-18.001 9.065 1.049
-20.439 10.115 3.690
-18.769 9.615 3.753
-17.896 9.215 2.202
-19.766 9.905 1.984
-18.295 9.405 2.649
-17.907 9.095 2.390
-18.679 9.658 4.957
-17.561 8.865 1.335
-19.731 10.045 2.323
-20.233 10.305 3.381
-19.680 9.935 2.616
-18.771 9.831 5.563
-18.559 9.632 4.887
-18.768 9.905 2.332
-18.719 9.355 1.131
-18.047 9.625 2.451
-18.303 9.155 1.255
-19.469 9.905 2.052
-18.543 9.265 4.133
-19.759 10.235 4.544
-20.571 10.135 2.941
-19.036 9.715 1.315
-18.485 9.375 2.228
-18.692 9.624 4.352
-18.308 9.465 1.636
-18.509 9.305 1.778
-20.163 10.282 3.558
-19.081 9.535 1.661
-20.860 10.301 5.840
-18.228 9.185 1.559
-18.593 9.415 5.226
-20.846 10.315 8.748
-19.673 9.725 1.677
-19.787 10.155 2.275
-19.910 9.965 1.660
-17.800 9.105 2.180
-20.042 10.055 1.577
-19.141 9.495 2.849
-18.829 9.749 7.026
-19.201 9.871 7.297
-18.504 9.255 1.191
-20.306 10.123 9.583
-20.620 10.115 7.960
-18.825 9.711 4.956
-18.374 9.559 4.236
-18.274 9.493 3.771
-18.176 9.215 1.110
-19.133 9.715 2.750
-18.845 9.605 2.342
-20.306 10.095 1.614
-21.996 10.861 6.411
-18.359 9.335 1.722
-18.080 9.175 2.026
-21.892 10.845 5.493
-20.093 10.185 4.026
-18.729 9.705 3.861
-18.230 9.255 3.453
-18.779 9.802 4.955
-19.672 9.955 4.090
-17.539 8.975 0.836
-19.748 10.035 1.339
-17.829 9.276 3.173
-20.038 10.105 1.616
-19.646 10.045 6.305
-20.364 10.245 7.319
-18.548 9.315 1.241
-18.490 9.505 5.135
-18.929 9.405 1.187
-18.892 9.781 4.172
-18.621 9.645 1.642
-18.391 9.443 2.410
-20.052 9.925 2.040
-17.865 9.391 3.172
-18.898 9.355 3.074
-19.494 9.885 2.012
-22.294 10.685 15.372
-18.469 9.320 3.040
-18.114 9.125 3.162
-18.755 9.845 3.985
-18.095 9.365 1.620
-18.171 9.621 4.950
-18.366 9.635 4.273
-18.634 9.455 1.134
-18.376 9.265 3.574
-18.991 9.385 1.302
-18.391 9.245 2.902
-20.275 10.194 2.351
-19.444 9.736 1.282
-17.900 9.345 1.453
