M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-18.391 9.215 2.847
-17.616 9.115 2.353
-17.557 8.945 1.380
-17.373 9.125 1.921
-17.370 8.915 1.161
-17.552 9.015 1.085
-17.680 9.265 2.858
-17.382 9.075 1.008
-17.921 9.375 6.230
-17.333 8.865 1.232
-17.566 9.225 1.535
-17.485 9.495 1.361
-17.577 9.232 1.273
-17.949 9.105 5.389
-17.416 9.025 2.143
-17.471 8.795 3.362
-17.610 9.265 2.564
-17.791 8.965 4.751
-17.405 8.975 0.761
-17.428 8.955 1.697
-18.136 9.235 2.920
-17.346 8.835 1.470
-17.484 9.055 1.454
-17.590 9.225 2.865
-17.344 8.825 2.097
-17.477 8.925 1.108
-17.341 8.755 2.346
-17.517 8.905 2.050
-17.542 9.025 1.706
-17.570 9.025 2.110
-17.517 9.175 1.211
-17.484 9.045 3.319
-17.467 8.975 0.704
-17.445 9.105 2.048
-17.672 8.985 2.119
-17.381 8.915 2.535
-17.473 9.025 0.924
-17.735 9.095 1.971
-17.827 9.045 3.361
-17.363 8.825 2.062
-17.368 9.065 2.256
-17.536 8.995 1.942
-17.870 9.155 4.376
-18.352 9.435 3.065
-17.383 8.825 2.161
-17.665 9.015 4.313
-17.506 8.845 2.471
-17.654 9.375 2.091
-17.568 9.015 1.052
-17.538 9.055 2.690
-17.369 9.085 2.044
-17.479 9.195 2.887
-17.600 8.995 3.820
-17.560 8.845 3.606
-17.384 9.085 3.397
-17.427 9.055 2.637
-17.641 9.025 3.172
-19.554 9.355 11.112
-17.533 9.035 2.701
-18.028 9.335 2.852
-17.478 8.875 2.066
-17.760 9.125 1.757
-18.113 9.215 5.666
-17.983 9.515 4.246
-17.451 9.035 2.230
-18.162 9.575 1.626
-17.509 9.238 2.132
-17.697 9.205 2.474
-17.335 8.885 3.395
-17.480 8.925 2.013
-17.200 8.875 1.684
-17.578 8.885 2.857
-17.373 8.775 2.214
-17.341 8.915 2.300
-17.413 8.945 3.466
-17.943 9.361 2.477
-17.348 9.494 2.721
-17.360 8.865 3.539
-17.576 9.387 3.319
-18.009 9.478 5.910
-17.598 8.915 4.012
-17.463 8.975 2.710
-17.487 8.935 3.407
-18.734 9.486 4.278
-17.428 8.945 2.985
-18.458 9.395 4.454
-17.409 9.290 3.293
-17.352 8.905 1.672
-17.371 8.815 2.087
-17.401 9.085 1.247
-17.633 9.282 2.319
-18.642 9.595 3.482
-17.501 9.195 1.524
-17.349 9.095 3.140
-20.014 9.895 3.132
-17.798 9.165 5.024
-17.462 9.585 3.118
-17.436 9.295 3.855
-17.402 9.334 4.072
-17.465 9.065 2.458
-17.439 9.015 1.839
-17.422 9.055 2.338
-18.095 9.345 5.050
-17.570 8.775 2.325
-17.334 8.715 2.482
-20.195 10.025 3.780
-21.677 10.715 7.665
-17.942 9.235 1.972
-17.493 9.165 2.676
-17.545 9.089 2.304
-17.354 8.945 1.690
-17.340 9.275 3.214
-17.325 9.256 2.159
-17.339 9.319 1.382
-17.464 9.344 3.349
-17.335 9.337 2.144
-17.394 8.950 2.006
-19.982 9.977 4.477
-18.010 9.085 4.495
-17.351 9.314 3.458
-17.053 9.351 2.120
-18.438 9.365 6.114
-18.206 9.789 6.224
-18.748 9.705 5.105
-17.653 9.255 5.070
-17.391 8.845 2.774
-17.634 9.035 2.880
-17.426 9.005 0.982
-19.190 9.685 5.443
-17.462 8.895 4.479
-17.874 9.253 2.995
-17.715 9.308 3.775
-17.462 8.935 2.571
-18.633 9.245 6.239
-17.907 9.365 3.585
-17.356 8.935 2.018
-17.336 8.845 2.376
-17.263 9.386 2.861
-17.074 8.805 1.900
-17.458 9.324 2.768
-17.515 9.567 3.620
-18.766 9.185 8.495
-18.018 9.085 16.576
-17.396 9.225 0.807
-18.940 10.270 2.391
-17.658 9.198 2.695
-17.768 9.627 4.225
-17.530 9.528 3.863
-17.372 9.045 2.211
-18.727 9.575 2.279
-20.668 10.285 3.828
-17.344 8.865 2.139
-17.332 9.255 2.144
-17.370 9.115 1.583
-19.072 9.665 2.258
-17.843 9.115 3.501
-17.407 9.229 1.493
-17.357 9.075 1.094
-17.837 9.556 4.098
-17.593 8.845 3.896
-18.325 9.395 2.929
-17.526 9.225 1.994
-17.551 9.685 1.902
-17.918 9.245 4.968
-20.336 10.185 3.705
-18.281 9.045 5.113
-18.166 9.115 7.360
-17.436 8.795 1.424
-17.364 9.045 1.355
-17.346 8.985 3.220
-21.637 10.695 3.279
-17.496 8.945 1.819
-18.756 9.333 4.231
-17.341 8.885 3.114
-17.562 9.145 4.429
-17.478 9.387 2.717
-17.797 9.586 2.817
-17.972 9.155 6.106
-17.475 8.685 8.891
-18.296 9.136 0.807
-17.631 9.315 3.405
-17.434 8.976 2.746
-18.687 9.705 2.254
-18.279 9.055 5.086
-17.606 9.385 4.224
-17.783 9.245 2.029
-17.759 9.065 2.352
-17.349 8.955 1.479
-17.517 8.965 2.993
-17.349 8.945 3.224
-17.383 8.825 3.772
-17.501 9.032 1.676
-17.372 8.835 4.108
-17.622 9.125 2.642
-18.052 9.675 7.625
-17.341 9.095 2.790
-17.381 8.755 2.031
-17.595 8.865 2.027
-17.352 9.255 1.210
-17.385 9.105 1.468
-17.332 9.095 3.003
-17.602 9.425 0.711
-17.474 9.307 4.325
-17.419 9.125 1.277
-17.457 9.165 3.131
-17.498 9.335 2.848
-17.447 9.482 2.165
-17.521 8.905 3.328
-17.585 9.085 2.534
-17.688 9.270 1.852
-17.711 9.115 4.489
-17.568 9.466 2.752
-17.518 9.570 3.309
-17.787 9.555 3.057
-17.367 8.895 2.285
-17.527 8.825 2.108
-17.833 9.435 3.173
-17.799 9.558 5.222
-17.349 8.865 2.730
-17.337 8.735 3.954
-17.486 9.205 3.576
-17.432 9.425 3.506
-18.794 9.725 4.069
-20.410 10.245 4.230
-17.472 8.925 1.234
-17.440 9.025 2.378
-17.434 8.895 2.137
-17.556 9.265 2.574
-17.410 9.175 2.854
-17.933 9.155 4.855
-17.360 8.995 2.791
-18.694 9.495 2.265
-19.004 10.015 6.848
-17.415 9.125 1.812
-19.060 11.385 25.489
-18.211 8.655 6.073
-17.859 9.635 5.040
-17.534 8.935 3.178
